Week,Date,Day,Template,Category,Title,Content
Week1,4,土,A2,失敗ログ,やめたことで成功したこと,"【やめた戦略】実は、やめたことで上手くいった

◆ やめたこと：[具体的な行動/ツール]
◆ 理由：..."
Week1,5,日,C2,Tips,営業メール返信率を上げた 1つの工夫,"【営業テク】営業メールの返信率を 3倍にした 1つの工夫

以前の営業メール：
❌ 「サービス内容 ..."
Week1,2,木,B1,実績・事例,顧客の売上を〇〇増やした方法,"【成果事例】クライアント売上を [数字] 増やした戦略

✅ 依頼内容：[クライアントが困っていたこ..."
Week1,1,水,A1,失敗ログ,今月失敗したこと 3つ,"【失敗ログ】今月失敗したこと 3つ

1️⃣ [失敗の内容を1行]
   → 原因：[原因を簡潔に]..."
Week1,3,金,C1,Tips,フリーランスが最初にやるべき 3つ,"【初期設定】フリーランスが最初の 1ヶ月でやるべき 3つ

❶ [Tips 1: 〇〇の設定]
  ..."
Week2,11,土,D2,質問,テンプレVol.2 希望機能、投票してください,"【テンプレ企画】Vol.2 こんな機能あったら嬉しい？

現在の企画：
✓ 月間投稿カレンダー
✓ ..."
Week2,12,日,B3,実績・事例,初月でこんなに変わった,"【ビフォーアフター】支援開始から初月で変わったこと

▼ Before
・ 月商：¥[金額]
・ 課..."
Week2,6,月,B2,実績・事例,〇〇型企業で月商が増えた理由,"【業種別成功事例】[業種名] 企業で月商が [増加率] 増えた理由

この企業の課題：
❌ [課題1..."
Week2,9,木,A3,失敗ログ,最初は失敗だと思ったけど...,"【転機】最初は失敗だと思ったけど、実は大きな学びだった

状況：[失敗と思ったシチュエーション]

..."
Week2,8,水,C3,Tips,単価交渉で失敗した話,"【反省】単価交渉で失敗した話から学んだこと

状況：[依頼されたプロジェクト]
最初の提示額：¥[金..."
Week2,7,火,D1,質問,あなたのフリーランス課題は？,"【質問】フリーランスの課題、あなたは何が一番？

📊 投票：一番悩んでることは？

① 集客（営業・..."
Week2,10,金,C4,Tips,単価を上げたら、むしろ成約が増えた,"【逆転】単価を上げたら、成約が増えた理由

¥[旧価格] → ¥[新価格]に上げた

心配：「客が離..."
Week3,18,土,B1,実績・事例,顧客の売上を〇〇増やした方法,"【成果事例】クライアント売上を [数字] 増やした戦略

✅ 依頼内容：[クライアントが困っていたこ..."
Week3,19,日,C1,Tips,フリーランスが最初にやるべき 3つ,"【初期設定】フリーランスが最初の 1ヶ月でやるべき 3つ

❶ [Tips 1: 〇〇の設定]
  ..."
Week3,13,月,E1,ニュース,AI時代のひとり起業が変わること,"【トレンド】AI 時代のひとり起業が変わること 3つ

🤖 変化 1: [変化内容]
これまで：[従..."
Week3,16,木,F1,プロモ,新講座・テンプレ・限定オファー,"【新着】Solo CEO OS の次に使える「テンプレVol.2」公開

Solo CEO OS で..."
Week3,15,水,E2,ニュース,月商 100万超えの個人事業主、こんなことしてる,"【調査】月商 100万超えの個人事業主の 3つの共通点

🔍 共通点 1: [特徴]
具体例：[実例..."
Week3,14,火,D3,質問,あなたが一番参考になった記事は？,"【振り返り】今月の記事で一番「あ、これ使える」と思ったのは？

投票結果で、来月の執筆方針を決めます..."
Week3,17,金,A1,失敗ログ,今月失敗したこと 3つ,"【失敗ログ】今月失敗したこと 3つ

1️⃣ [失敗の内容を1行]
   → 原因：[原因を簡潔に]..."
Week4,25,土,C2,Tips,営業メール返信率を上げた 1つの工夫,"【営業テク】営業メールの返信率を 3倍にした 1つの工夫

以前の営業メール：
❌ 「サービス内容 ..."
Week4,26,日,C3,Tips,単価交渉で失敗した話,"【反省】単価交渉で失敗した話から学んだこと

状況：[依頼されたプロジェクト]
最初の提示額：¥[金..."
Week4,20,月,E3,ニュース,個人がサービス販売で失敗する理由,"【分析】個人がサービス販売で失敗する理由、上位 3つ

❌ 理由 1: [失敗要因]
原因：[なぜそ..."
Week4,23,木,D1,質問,あなたのフリーランス課題は？,"【質問】フリーランスの課題、あなたは何が一番？

📊 投票：一番悩んでることは？

① 集客（営業・..."
Week4,22,水,A2,失敗ログ,やめたことで成功したこと,"【やめた戦略】実は、やめたことで上手くいった

◆ やめたこと：[具体的な行動/ツール]
◆ 理由：..."
Week4,21,火,F2,プロモ,限定オファー＆キャンペーン情報,"【期間限定】Solo CEO OS 購入者向け、特別パッケージ

【期間限定セット】
通常：Solo..."
Week4,24,金,B2,実績・事例,〇〇型企業で月商が増えた理由,"【業種別成功事例】[業種名] 企業で月商が [増加率] 増えた理由

この企業の課題：
❌ [課題1..."
