No.,カテゴリ,テーマ,説明,使用例
1,自己紹介,自己紹介・プロフィール,改めて自分のことを伝える,「はじめまして！○○を運営している□□です」
2,自己紹介,なぜこの仕事を始めたか,ストーリーで共感を得る,「実は○○がきっかけで…」
3,自己紹介,1日のルーティン,日常を見せて親近感を出す,「朝6時に起きて仕込みから…」
4,サービス,サービス紹介,何を提供しているかを伝える,「当店の○○は△△が特徴です」
5,サービス,ビフォーアフター,成果を視覚的に見せる,「施術前→施術後の変化」
6,サービス,料金・プランの説明,問い合わせのハードルを下げる,「よくご質問いただく料金について」
7,サービス,よくある質問（FAQ）,不安を解消する,「Q. 予約なしでも入れますか？」
8,お客様,お客様の声・感想,社会的証明,「嬉しいお声をいただきました」
9,お客様,実績紹介,信頼を積む,「おかげさまで○○件突破」
10,お客様,お客様とのエピソード,人間味を出す,「先日の常連さんとの会話で…」
11,知識,業界の豆知識,専門性をアピール,「実は○○って△△なんです」
12,知識,よくある間違い,注意喚起で価値提供,「○○でやりがちなNG行動3選」
13,知識,おすすめツール・本,有益情報の共有,「仕事で使っている○○が便利」
14,知識,最新トレンド解説,詳しい人と認識される,「2026年の○○トレンドは…」
15,知識,用語解説,初心者にやさしく,「よく聞く○○って何？」
16,日常,仕事風景・作業中の写真,裏側を見せる,「今日の仕込み風景」
17,日常,今日の気づき・学び,リアルタイム感,「今日のお客様から学んだこと」
18,日常,失敗談と学び,共感と信頼,「正直に言うと失敗しました」
19,日常,休日の過ごし方,人柄を出す,「休みの日は○○してます」
20,日常,最近読んだ本・記事,知的好奇心をアピール,「この本おすすめです」
21,告知,イベント・セミナー案内,集客,「○月○日イベント開催！」
22,告知,キャンペーン・割引,即効性のある集客,「今週末限定○%OFF」
23,告知,新サービス・新メニュー,新着情報,「新メニュー始めました」
24,告知,営業時間・定休日変更,フォロワーへの配慮,「○月の定休日のお知らせ」
25,告知,求人募集,採用にも使える,「一緒に働く仲間を募集中」
26,季節,新年の挨拶,1月,「明けましておめでとうございます」
27,季節,バレンタイン関連,2月,「バレンタイン限定メニュー」
28,季節,春の始まり・新生活,3〜4月,「新生活応援キャンペーン」
29,季節,GW関連,5月,「GWの営業時間のお知らせ」
30,季節,梅雨・雨の日ネタ,6月,「雨の日サービス始めました」
31,季節,夏・暑さ対策,7〜8月,「暑い日にぴったりの○○」
32,季節,お盆・夏休み,8月,「お盆期間の営業について」
33,季節,秋の味覚・読書,9〜10月,「秋の新メニュー登場」
34,季節,ハロウィン,10月,「ハロウィン限定○○」
35,季節,年末・大掃除,12月,「年末年始のご案内」
36,季節,クリスマス,12月,「クリスマスプランご予約受付中」
37,エンゲージ,質問を投げかける,コメントを促す,「皆さんは○○どうしてますか？」
38,エンゲージ,アンケート（2択）,参加感を出す,「A派？B派？コメントで教えて」
39,エンゲージ,「あなたはどっち派？」,意見を聞く,「朝ごはんはパン派？ご飯派？」
40,エンゲージ,感謝の投稿,フォロワーとの関係強化,「フォロワー○○人ありがとう」
41,エンゲージ,リポスト・引用RT,他者とのつながり,「素敵な投稿を見つけました」
42,コンテンツ,まとめ投稿（〇選）,保存されやすい,「おすすめ○○5選」
43,コンテンツ,チェックリスト,実用的で保存されやすい,「○○する前の確認リスト」
44,コンテンツ,ステップ解説（手順）,わかりやすい価値提供,「○○の3ステップ」
45,コンテンツ,比較・対決（A vs B）,興味を引く,「○○と△△どっちがいい？」
46,コンテンツ,名言・格言＋自分の意見,共感を得やすい,「好きな言葉があります」
47,振り返り,今月の振り返り,定期コンテンツ化,「今月の振り返りレポート」
48,振り返り,今週のハイライト,週次まとめ,「今週のベストショット」
49,振り返り,数字で見る〇〇（実績報告）,透明性,「今月の来客数は○○人」
50,振り返り,来月の目標,フォロワーに宣言,「来月は○○に挑戦します」
