項目,値,数式・備考
対象月,2026-05,=TEXT(TODAY()&#44;"YYYY-MM")
当月目標,300000,手入力
当月実績,0,=SUMIFS(取引!E:E&#44;取引!A:A&#44;">="&DATE(YEAR(TODAY())&#44;MONTH(TODAY())&#44;1)&#44;取引!A:A&#44;"<="&EOMONTH(TODAY()&#44;0))
達成率,0%,=B4/B3
残目標額,300000,=MAX(0&#44;B3-B4)
経過日数,1,=DAY(TODAY())
残日数,30,=EOMONTH(TODAY()&#44;0)-TODAY()
必要日割,10000,=B6/B8
当月予測着地,0,=B4/(B7/DAY(EOMONTH(TODAY()&#44;0)))
ステータス,確認中,=IF(B5>=B7/DAY(EOMONTH(TODAY()&#44;0))&#44;"順調"&#44;"遅れ")
A柱必要案件数,20,=CEILING(B6/15000&#44;1)
B柱必要契約数,6,=CEILING(B6/50000&#44;1)
C柱必要販売数,306,=CEILING(B6/980&#44;1)
D柱必要案件数,20,=CEILING(B6/15000&#44;1)
