日付,曜日,媒体,テーマ・ネタ,投稿文（下書き）,ハッシュタグ,画像有無,投稿済み,いいね数,備考
2026-05-01,金,Instagram,自己紹介・プロフィール,,,FALSE,FALSE,,
2026-05-03,日,X,業界の基礎用語解説,,,FALSE,FALSE,,
2026-05-05,火,Instagram,お客様の声・感想,,,FALSE,FALSE,,
2026-05-07,木,Facebook,サービスの全体像,,,FALSE,FALSE,,
2026-05-10,日,Instagram,ビフォーアフター,,,FALSE,FALSE,,
2026-05-12,火,X,プロが使うコツ・テクニック,,,FALSE,FALSE,,
2026-05-14,木,Instagram,普段の1日のスケジュール,,,FALSE,FALSE,,
2026-05-17,日,Facebook,お客様の成功事例,,,FALSE,FALSE,,
2026-05-19,火,Instagram,おすすめツール・サービス,,,FALSE,FALSE,,
2026-05-21,木,X,初心者がやりがちな失敗トップ3,,,FALSE,FALSE,,
2026-05-24,日,Instagram,影響を受けた本・人物,,,FALSE,FALSE,,
2026-05-26,火,X,業界の最新トレンド,,,FALSE,FALSE,,
2026-05-28,木,Instagram,仕事道具・愛用品の紹介,,,FALSE,FALSE,,
2026-05-30,土,Facebook,このアカウントを始めた理由,,,FALSE,FALSE,,
2026-05-31,日,Instagram,今月の振り返り,,,FALSE,FALSE,,
