No,カテゴリ,テーマ,投稿例（一言）
1,自己紹介,自己紹介・プロフィール,はじめての方向けにアカウントの概要を発信
2,自己紹介,このアカウントを始めた理由,発信を始めたきっかけ・想い
3,自己紹介,私のミッション・大切にしていること,価値観の共有
4,自己紹介,過去の失敗と乗り越えた話,共感を生むストーリー
5,自己紹介,今の仕事を選んだきっかけ,キャリアストーリー
6,自己紹介,普段の1日のスケジュール,親近感を生む日常公開
7,自己紹介,仕事道具・愛用品の紹介,人柄・こだわりが伝わる
8,自己紹介,影響を受けた本・人物,価値観を間接的に共有
9,自己紹介,5年後の目標,未来への意気込み
10,自己紹介,このアカウントで届けたいこと,理念の再確認
11,サービス,サービスの全体像,サービス内容の概要
12,サービス,サービスを使った後の変化,ビフォーアフター訴求
13,サービス,お客様の声・感想,信頼構築（許可必須）
14,サービス,よくいただく質問とその答え,事前不安解消
15,サービス,サービス料金の内訳・透明性,価格不安解消
16,サービス,競合との違い・自社の強み,差別化訴求
17,サービス,実績・数字,信頼性訴求
18,サービス,お客様の成功事例,ケーススタディ（許可必須）
19,サービス,サービスの裏側・制作プロセス,プロセス公開
20,サービス,キャンペーン・割引情報,集客強化
21,ノウハウ,業界の基礎用語解説,初心者向け教育
22,ノウハウ,初心者がやりがちな失敗トップ3,共感＋解決策
23,ノウハウ,プロが使うコツ・テクニック,専門性訴求
24,ノウハウ,おすすめツール・サービス,有益情報の提供
25,ノウハウ,業界の最新トレンド,情報感度の高さ訴求
26,ノウハウ,統計データ・調査結果の紹介,客観性訴求
27,ノウハウ,「やってはいけない」NGリスト,逆説的訴求
28,ノウハウ,ステップバイステップの手順解説,保存される投稿
29,ノウハウ,比較記事（A vs B）,判断材料の提供
30,ノウハウ,専門家インタビュー or 引用,権威付け
31,日常,今日のランチ・カフェ,親近感
32,日常,仕事の合間の気分転換,人柄
33,日常,最近読んだ本・観た映画,価値観共有
34,日常,出張・旅先の風景,スケール感
35,日常,季節を感じた瞬間,情緒
36,日常,趣味・休日の過ごし方,プライベート公開
37,日常,失敗談・恥ずかしい話,共感
38,日常,家族・ペットの話,温かみ
39,日常,朝のルーティン,習慣化のヒント
40,日常,夜のルーティン,生活感
41,季節,新年・年始の抱負,1月
42,季節,バレンタイン・ホワイトデー,2-3月
43,季節,春・桜・入学,3-4月
44,季節,ゴールデンウィーク,4-5月
45,季節,梅雨・夏支度,6月
46,季節,夏祭り・お盆,7-8月
47,季節,秋・紅葉・読書の秋,9-11月
48,季節,ハロウィン,10月
49,季節,年末・大掃除,12月
50,季節,クリスマス・年越し,12-1月
