勘定科目の目安,典型的な内容例,判断のヒント（一般的な目安）
通信費,携帯料金/インターネット回線/サーバー・ドメイン,事業で使う通信。家事按分が必要な場合あり
旅費交通費,電車・バス・タクシー/出張の宿泊,業務の移動。プライベート分は除く
消耗品費,文具/10万円未満の備品/USBメモリ等,1単位おおむね10万円未満が目安（金額基準は最新情報で確認）
ソフトウェア・通信費等,月額SaaS/クラウド利用料/アプリ,科目名は事業ごとに統一。少額は消耗品とする例も
新聞図書費,業務関連の書籍/有料記事/資料,業務との関連を説明できること
研修費,セミナー/オンライン講座受講料,スキル維持・向上のためのもの
広告宣伝費,広告出稿/名刺/チラシ/サンプル配布,集客・宣伝目的
外注費,業務委託への支払い/デザイン・編集の外注,支払調書や源泉の論点が出る場合あり（要確認）
接待交際費,取引先との飲食/手土産,業務関連性と相手先を記録。私的飲食は対象外
地代家賃,事務所家賃/コワーキング利用料,自宅兼用は家事按分の論点（要確認）
水道光熱費,電気・ガス・水道,自宅兼用は家事按分の論点（要確認）
支払手数料,振込手数料/決済サービス手数料/プラットフォーム手数料,少額でも積み上がるので記録
租税公課,事業に関する税・印紙代,所得税・住民税は対象外（事業の税に限る）
減価償却費,10万円以上の資産の按分,金額・耐用年数の基準は最新情報で確認
雑費,上記に当てはまらない少額の費用,多用しない。可能なら適切な科目へ
